content,discuss,id,share,support,time
#影视剧中的高颜值女星#｜迪丽热巴白凤九，烈如歌，凌凌七，高雯…… ??,142,布加迪迪畏,297,1344,11月29日 14:29
迪丽热巴我的爱豆在沙雕的路上越走越远！唉…说你呢！@Dear-迪丽热巴 ??！ ??,60,a帥比姚,7,568,12月02日 17:11
·迪女士的自拍日常(我太难了)@Dear-迪丽热巴 你自己来看看  好好反省一下 ??,77,风屿茶吟,73,313,今天11:20
我们巴唱歌是好听的，不会走音走掉走感情，更不会五音不全（清唱合集你们喜欢哪首#迪丽热巴# L恃美貌行凶的微博视频 ??,309,恃美貌行凶,300,2272,11月28日 20:43
迪丽热巴大红裙造型想到了《烈火如歌》中的红裙造型，一样美得娇艳！ ??,133,头条时尚资讯,113,385,12月01日 10:00
"【最后打脸一下郑爽粉丝的假澄清】白天营销号拉踩迪丽热巴发博（图1），巴粉日常评论表白纯天然大美女。谁知郑爽粉丝自我感觉被内涵了，就在评论区给热巴造黄谣，造谣时间在10点44分—11点31之间，随后此人心虚偷偷删除又重发了评论（图2）同一时间郑爽某超话大咖粉又上演双标法，【纯天然大美女就叫 ??  展开全文c                
                    【最后打脸一下郑爽粉丝的假澄清】白天营销号拉踩迪丽热巴发博（图1），巴粉日常评论表白纯天然大美女。谁知郑爽粉丝自我感觉被内涵了，就在评论区给热巴造黄谣，造谣时间在10点44分—11点31之间，随后此人心虚偷偷删除又重发了评论（图2）同一时间郑爽某超话大咖粉又上演双标法，【纯天然大美女就叫内涵郑爽】，爽粉造黄谣就是巴粉对号入座（图3） 郑爽粉丝的每张澄清图都假到不行（图4） 收起全文d",616,被汪咬过的狐狸,316,5729,12月01日 23:49
京都????又见热巴！国际热巴好好看！@Dear-迪丽热巴 2日本·京都 ??,24,正儿八经小哥Glenn,20,276,今天11:36
翻生日会的图，这张好戳我萌点哦，不知道为什么哈哈哈#迪丽热巴小公主# ??,155,辛能能RR,70,964,11月28日 14:43
迪丽热巴、古力娜扎COSMO官宣海报对比，谁的气质更绝？ ??,245,娱透君,47,1634,12月02日 18:53
原来刘诗诗和迪丽热巴演过同一部剧，还在剧里同框过！看看两个人演的角色 ??,144,吃瓜卫视,100,813,12月02日 10:16
#迪丽热巴 蓝色人鱼裙# 迪丽热巴 一袭蓝色渐变曳地礼裙亮相2019#COSMO时尚美丽盛典#，就像是刚刚出落地面的蓝色美人鱼，美到发光~  #迪丽热巴蓝色美人鱼# ??,378,娱乐圈八姐,316,2063,今天18:29
#迪丽热巴 蓝色人鱼裙#热巴今天太美了，我已经移不开眼睛了！ ??,52,娱乐扒皮,11,311,19分钟前
迪丽热巴今晚#cosmo时尚盛典#红毯造型，身着Jenny Peckham蓝色渐变珠片长裙搭配水钻流苏发饰。#迪丽热巴 蓝色人鱼裙# ??,158,Twice-Chic,44,1879,今天18:25
"#郑爽##迪丽热巴# 双十二都开启了，迪丽热巴粉丝不去购物真的是闲的呀，图一这个红v微博撒泼一天了一看就是有预谋的粉头呢，发疯号召碰瓷90后电视剧实绩top1郑爽的真的神似年底了公司得看员工业绩了结果迪丽热巴这个不争气的东西剧都没电视台买，断档一年了好可怜咯，还得寄人篱下嘉行还得看??总脸 ??  展开全文c                
                    #郑爽##迪丽热巴# 双十二都开启了，迪丽热巴粉丝不去购物真的是闲的呀，图一这个红v微博撒泼一天了一看就是有预谋的粉头呢，发疯号召碰瓷90后电视剧实绩top1郑爽的真的神似年底了公司得看员工业绩了结果迪丽热巴这个不争气的东西剧都没电视台买，断档一年了好可怜咯，还得寄人篱下嘉行还得看??总脸色 收起全文d",127,放个屁给你追着玩啊,3,161,12月01日 22:20
"#迪丽热巴益起来##迪丽热巴正能量##一起扬帆公益# 用热爱守护少年天真的梦用热爱温暖孩童灿烂的笑从图书室到美术教室从小黄帽到文体用品一路热·爱，扬帆起航 感谢@扬帆计划 的邀请，两年前因[热·爱]而遇见，两年后我们站在领奖台上，拿到了沉甸甸的荣誉。恭喜我们的大院宝宝荣获热心公益奖和 ??  展开全文c                
                    #迪丽热巴益起来##迪丽热巴正能量##一起扬帆公益# 用热爱守护少年天真的梦用热爱温暖孩童灿烂的笑从图书室到美术教室从小黄帽到文体用品一路热·爱，扬帆起航 感谢@扬帆计划 的邀请，两年前因[热·爱]而遇见，两年后我们站在领奖台上，拿到了沉甸甸的荣誉。恭喜我们的大院宝宝荣获热心公益奖和最佳爱心伙伴奖未来，继续和@Dear-迪丽热巴 一起做公益 收起全文d",242,DI-WARRIOR大院,267,746,11月30日 22:09
迪丽热巴 |#迪丽热巴白凤九# ??一寸秋波，千斛明珠觉未多凤九????多情种（来自一个渣渣的小摸鱼 L迪丽热巴 凤九x多情种 ??,57,RanshirUco,92,312,11月29日 21:35
#从2017到2019# 越来越多的人喜欢热巴啦！ “因为热爱，是所有的理由和答案。”@Dear-迪丽热巴 #迪丽热巴代言娇韵诗# ??,175,a帥比姚,87,1248,11月26日 20:02
#简单的介绍下我自己#迪丽热巴 给介绍一下，这是我老婆@Dear-迪丽热巴以后每一天我都宠着她，维护她 ??,495,喜欢傲娇迪,12,741,11月28日 22:56
巅峰时期的迪丽热巴和巅峰时期的郑爽，谁更火 ??,887,Rabbit每日爆料,149,64254,12月01日 17:12
郑爽 速记#迪丽热巴高雯# 角色台词，哎呀，还是喜欢高雯的霸道来看东施效颦（还有旁边人提醒） L不负良辰的微博视频 ??????,136,大黑饼干,95,1898,12月01日 17:31
一个小学生画的迪丽热巴 ??,96,中国美术精选,8,649,12月02日 18:11
明星权力榜十一月最受欢迎艺人：王俊凯 朱一龙 肖战 王一博 李现迪丽热巴 杨紫 邓伦 马天宇 蔡徐坤李汶翰 赵丽颖 迪玛希 华晨宇 宋茜罗云熙 杨幂 胡歌 易烊千玺 魏大勋 ??,287,芒果影视台,44,3348,12月02日 17:38
#真实存在的漫画腿# dlrb迪丽热巴必须拥有姓名大长腿美女啊@Dear-迪丽热巴 转赞评排名 ??,734,YUSIYE樱桃,162,4198,11月30日 15:40
可盐可甜 热巴冷巴 最可的双生姐妹花，迪丽热巴 画中走出来的仙女，你爱了吗 ??,729,芒果捞扒哥,348,3263,11月28日 09:23
迪丽热巴哈哈哈哈小学生热巴粉写作文《#我和迪丽热巴过一天#》，做梦梦到自己是迪丽热巴的小助理哈哈哈，可以努力一下，说不定长大了有机会呢 ??,64,八鹅吃瓜蜀黍,16,227,今天09:49
#戳中你笑点的台词##迪丽热巴swisse品牌代言人# 当然是一千零一夜这段了，这编剧绝了@Dear-迪丽热巴 L喜欢傲娇迪的微博视频 ??,267,喜欢傲娇迪,50,3979,11月27日 17:40
迪丽热巴              ?? 和@Dear-迪丽热巴 同框的那些动物们 ??,84,曰哥,17,188,11月28日 20:05
#人民日报谈粉丝文化##迪丽热巴swisse品牌代言人# 一直以来，迪丽热巴都在呼吁大家做公益，是大家的榜样是粉丝的榜样。未来，我们也会多响应正能量迪丽热巴的号召，多做公益，为社会贡献出自己的一份力量，帮助更多需要帮助的人。@Dear-迪丽热巴 ??,423,喜欢傲娇迪,137,5595,11月28日 16:15
#礼貌是一种保护色# 温柔勇敢有礼貌，努力谦虚三观正！迪丽热巴！一个值得大家用心喜欢的人@Dear-迪丽热巴 #迪丽热巴swisse品牌代言人# L鱼丸姜的秒拍视频 ??,23,a帥比姚,31,623,11月24日 20:14
迪丽热巴、高伟光出演的《三生三世枕上书》  即将上线啦！你们激不激动？ ?? ????????,1336,刀客电影,1078,3441,11月28日 10:49
#迪丽热巴# #偶像音乐练习室#金鸡奖颁奖典礼两人同框（迪丽热巴 黄景瑜）最新！！ L聊天倒不如跳舞的微博视频 ??,8,聊天倒不如跳舞,28,291,11月29日 13:37
赵丽颖当年录制《奔跑吧》时溺水，当时的她在泳池中挥手但场中无人发现，不会游泳的迪丽热巴坐弹射椅也遭遇过溺水，细思极恐 ??,56,电影妃,23,577,11月30日 06:30
迪丽热巴黄景瑜《爱情高级定制》路透，黄景瑜男友力十足呀 ??,139,追星狗,115,1362,11月28日 22:27
"【11.30重要数据】目标人数：300阿丝们冲呀日常重视起来??公益：探咖森林:O网页链接1??迪丽热巴签到打榜：O网页链接2??寻艺：O网页链接3??权力榜： O网页链接4??明星势力榜:明星势力榜 5??搜索:微博  ??  展开全文c                
                    【11.30重要数据】目标人数：300阿丝们冲呀日常重视起来??公益：探咖森林:O网页链接1??迪丽热巴签到打榜：O网页链接2??寻艺：O网页链接3??权力榜： O网页链接4??明星势力榜:明星势力榜 5??搜索:微博 O迪丽热巴  百度O网页链接#迪丽热巴代言娇韵诗##迪丽热巴白凤九# LDear迪丽热巴后援会的微博视频 收起全文d",73,Dear迪丽热巴打投组,13,184,11月30日 08:11
"迪丽热巴 明天的cosmo盛典，看了一下也是嘉宾云集，中外荟萃，还有几个男顶流（不清楚有谁的，可以先搜一下），但其实看上去复杂，实际上就是看那天穿着打扮谁更美丽谁更时尚，各种比来比去，挑来挑去，虽然我们从来不主动去撩拨别人，但是别人也从来没有放过我们。时尚这块一直是我们的 ??  展开全文c                
                    迪丽热巴 明天的cosmo盛典，看了一下也是嘉宾云集，中外荟萃，还有几个男顶流（不清楚有谁的，可以先搜一下），但其实看上去复杂，实际上就是看那天穿着打扮谁更美丽谁更时尚，各种比来比去，挑来挑去，虽然我们从来不主动去撩拨别人，但是别人也从来没有放过我们。时尚这块一直是我们的优势，大家一定要打起精神，比人气又比颜值的时候到了。 收起全文d",177,再热就要挂,9,463,12月02日 11:34
#请造黄谣的郑爽粉丝道歉#说一下我为什么会撕爽，起因是因为一个拉踩贴，一些小摩擦也就算了，但郑爽粉丝最先开始辱骂、造黄谣，被发现后继续辱骂不停，反黑站也一直未回应，粉丝反击，爽粉微博控不过跑去豆 ／瓣卖惨拉妇联，微博还继续带迪丽热巴大名辱骂，这肯定忍不了啊?? ??,205,喜欢傲娇迪,97,1643,12月01日 21:25
#麻辣变形计#迪丽热巴关小迪急着去海边应战，骑个自行车也能成为一道靓丽的风景线！ L布加迪迪畏的微博视频 ??,42,布加迪迪畏,44,575,11月30日 18:46
迪丽热巴#迪丽热巴身材# 迪丽热巴的身材真的好绝，虽然瘦但是不影响她凹凸有致，比例太优越了，要是拥有她这种身材做梦也会笑醒吧～～ ??,150,修生鱿鱼,121,2005,12月01日 10:22
迪丽热巴  #一起扬帆公益# 因热·爱 而遇见@Dear-迪丽热巴 一起扬帆公益2019之“公益·遇见”——扬帆粉丝团合作年终线下交流会，11月30日北京新浪总部大厦，遇见·你@DI-WARRIOR大院 ??,1439,扬帆计划,915,10502,11月29日 16:08
分享@Dear-迪丽热巴 的@绿洲 动态:网上看到的～ 我期望我们都是这样的人～ O绿洲#迪丽热巴白凤九##MIKIMOTO亚洲代言人迪丽热巴#迪丽热巴 ??,288,Dear迪丽热巴后援会,560,4849,11月29日 13:20
迪丽热巴 顺手修了考古一下手里攥着纸巾的小朋友三连拍 ??,684,pieceofJune0603·迪丽热巴,927,3313,11月28日 11:21
时尚COSMO新疆二美迪丽热巴和古力娜扎同台pk，两个都是以貌美和造型出圈，你觉得谁赢？ 来选 ??,114,嗑瓜子每日专用,22,7973,11月30日 14:31
"追光者的故事是，17年底二鱼用追光者剪了一个视频，当时大家都觉得太感动了，（找不到原博了但记得当时都在转），没过多久18年初录烈火如歌的快本，中间有个环节是像唱KTV一样大家一起唱歌，当时台上气氛很嗨嘉宾们都在互相捧场，但是到了唱起追光者的时候，她突然就一直笑着看向粉丝坐着的地方，一直 ??  展开全文c                
                    追光者的故事是，17年底二鱼用追光者剪了一个视频，当时大家都觉得太感动了，（找不到原博了但记得当时都在转），没过多久18年初录烈火如歌的快本，中间有个环节是像唱KTV一样大家一起唱歌，当时台上气氛很嗨嘉宾们都在互相捧场，但是到了唱起追光者的时候，她突然就一直笑着看向粉丝坐着的地方，一直比心互动。这首歌在她心里真的非常能代表和粉丝之间的感情吧～#迪丽热巴白凤九##迪丽热巴swisse品牌代言人#迪丽热巴 @Dear-迪丽热巴 LMiddle咸二鱼的秒拍视频 ?? 收起全文d",185,wnqqwwb-,322,1626,12月01日 21:29
#世间罕见的美人骨# 那必须要提到迪丽热巴了吧！虽说美人在骨不在皮，但巴巴是骨相和皮相都好看的@Dear-迪丽热巴 迪丽热巴 ??,148,娱小圈,121,814,11月30日 11:01
#生图即精修系列# 迪丽热巴生图合集，生图比精修图还好看系列期待电影《日月》嫦娥、电视剧《三生三世枕上书》凤九《爱情高级定制》周放@Dear-迪丽热巴 星闻揭秘 ??,1125,星闻揭秘,513,8364,11月29日 11:43
八卦热议迪丽热巴粉丝说：“以后控评还用纯天然美女吗，感觉扎了好多人的心 ??。”疑似暗指郑爽和杨紫 ??,266,八卦热议,4,5879,12月01日 15:08
迪丽热巴 当女神迪丽热巴遇到自己的男神时……哈哈，也一样不淡定 L娱乐圈班主任的微博视频 ??,8,娱乐圈班主任,16,232,11月30日 16:32
杨紫 迪丽热巴车窗卖萌对比，一个楚楚可怜，一个古灵精怪，你更喜欢谁的 ??,421,吃瓜少年日爆社,78,7834,11月29日 06:57
??：这条收藏迪丽热巴所有宝藏壁纸 ??,1833,我来人间捡宝藏,695,8538,11月27日 20:49
郑爽模仿迪丽热巴被吊打现场 口齿不清台词不过关就别勉强自己了，现场的人都尴尬到窒息  L不负良辰的微博视频 ??????,70,曰哥,23,720,12月01日 17:30
#cosmo时尚盛典# 红毯新一波女星无修动图：刘诗诗、迪丽热巴、古力娜扎、倪妮、景甜、宋茜、杨颖、佟丽娅，宋祖儿、钟楚曦、沈月，林允 ??,249,东邪西媚,39,6278,26分钟前
#迪丽热巴 蓝色人鱼裙# 今天COSMO的红毯造型也太好看了吧！！！动态真的比静态还要绝！@Dear-迪丽热巴 ??,14,脾气有点暴吧bb,18,150,41分钟前
#cosmo时尚盛典#两位新疆美女古力娜扎与迪丽热巴的精修图都来了，你觉得今晚谁穿的更好看呢， ??,481,Real皮皮王,421,6223,今天18:20
"#腾讯视频#腾讯视频2020备播电视剧，说说看你最期待哪部杨紫/肖战《余生请多指教》赵丽颖/王一博《有翡》迪丽热巴/高伟光《三生三世枕上书》杨洋/李一桐《特战荣耀》许凯/李一桐《大唐女儿行》肖战/吴宣仪《斗罗大陆》孙俪/罗晋《卖房子的人》唐嫣/窦骁《燕云台》白宇/郑湫泓《蓬莱间》 ??  展开全文c                
                    #腾讯视频#腾讯视频2020备播电视剧，说说看你最期待哪部杨紫/肖战《余生请多指教》赵丽颖/王一博《有翡》迪丽热巴/高伟光《三生三世枕上书》杨洋/李一桐《特战荣耀》许凯/李一桐《大唐女儿行》肖战/吴宣仪《斗罗大陆》孙俪/罗晋《卖房子的人》唐嫣/窦骁《燕云台》白宇/郑湫泓《蓬莱间》王凯/江疏影《孤城闭》杨幂/张彬彬《暴风眼》王凯/杨烁《大江大河2》吴亦凡/杨紫《青簪行》杨幂《九州·斛珠夫人》鹿晗/吴磊《穿越火线》黄轩/陈赫《瞄准》靳东/闫妮《人民的财产》江疏影/童谣《三十而已》王鹤棣/宋伊人《将夜2》 收起全文d",4734,圈内少年,1147,42973,12月02日 23:08
同样的遮胸动作，杨紫关晓彤都被人夸赞，迪丽热巴却被人说做作 ??,296,叫我老伯,171,1871,12月02日 14:54
有种韵味叫迪丽热巴穿“液体裙”，镜头拉近后，网友：这谁顶得住 ????????,128,娱乐综艺集锦,107,577,11月29日 11:00
迪丽热巴和古力娜扎出席同一场活动，两位新疆神颜你们期待谁 ??,415,扒圈兔,109,616,11月30日 15:06
迪丽热巴 可爱迪上线了，人美歌甜，最后是亮点@Dear-迪丽热巴 #迪丽热巴创造营2019##迪丽热巴# L黑色风暴l的微博视频 ??,18,黑色风暴l,5,190,11月29日 16:27
【高能福利】@Dear-迪丽热巴 ?? 直播精彩内容合辑！超美造型look，红衣灵动真是美哭了！现场还公布@狐妖小红娘手游 与《三生三世枕上书》的IP联动，期待期待~点击视频收看白凤九在线呆萌撩人~#迪丽热巴S级体质# L星闻揭秘的秒拍视频 ??,412,星闻揭秘,1278,3405,11月24日 21:25
迪丽热巴实力宠粉，给粉丝寄了明信片，这可是热巴亲自买的，很走心了，同为追星女孩，实名羡慕了 ??,399,八哥,150,3895,11月26日 17:55
#穿古装最好看的人#来看看三生三世枕上书，迪丽热巴单人cut！ L弗朗个西斯的微博视频 ??????,387,布加迪迪畏,175,8116,11月27日 19:45
时尚COSMO美丽盛典新一波官宣海报来咯：迪丽热巴、林彦俊、朱正廷、王晨艺、胡一天、赖冠霖、刘宇宁、宋祖儿、魏大勋等，你期待谁？ ??,933,嗑瓜子每日专用,781,60645,11月25日 22:20
迪丽热巴 | ???? ??,56,千椿渡,55,390,12月01日 00:11
迪丽热巴粉丝和郑爽粉丝在线掐架！郑爽粉丝说迪丽热巴粉内涵郑爽整容，迪丽热巴粉丝说是郑爽粉丝先开始内涵，90女顶流的较量 ??,680,Rabbit每日爆料,144,73567,12月01日 14:50
#追剧计划# 迪丽热巴 枕上书这个冬天我能等到白凤九小狐狸吗？！@Dear-迪丽热巴 #迪丽热巴三生三世枕上书# cr. L拉迪休·HD的微博视频 ??,46,a帥比姚,27,465,11月29日 09:06
"2019年是Garmin成立三十周年，在这个特别的时间点，我们遇见了@Dear-迪丽热巴 ，遇见了每一位追求科学运动和健康生活方式的你们。在感恩节之际，#Garmin感恩有你# ，谢谢大家的一路支持和相伴。2019即将结束，这一年的经历中你最想对哪个人/哪件事表示感谢呢？在评论中向他们表达谢意，关注我并 ??  展开全文c                
                    2019年是Garmin成立三十周年，在这个特别的时间点，我们遇见了@Dear-迪丽热巴 ，遇见了每一位追求科学运动和健康生活方式的你们。在感恩节之际，#Garmin感恩有你# ，谢谢大家的一路支持和相伴。2019即将结束，这一年的经历中你最想对哪个人/哪件事表示感谢呢？在评论中向他们表达谢意，关注我并转发此微博，12月2日将从评论中抽取一位送上迪丽热巴 签名款腕表一块！ #热巴又换新手表# #热巴与Garmin带你型动# LGarmin官方微博的微博视频 O抽奖详情 收起全文d",1842,Garmin官方微博,1482,7996,11月28日 18:32
#迪丽热巴周放##迪丽热巴白凤九# ——————  小美人鱼????还是生日会存货，记得查看原图保存(太美了！艹！太美了！为什么我没有早一点修生日会！！)@Dear-迪丽热巴 #迪丽热巴小公主# ??,291,辛能能RR,280,1163,11月28日 19:28
#演唱会上盖过原唱的粉丝#迪丽热巴迪丽热巴和粉丝合唱追光者LSADCardo的秒拍视频 ??,563,喜欢傲娇迪,466,3725,11月29日 23:24
古力娜扎与欧阳娜娜的合影，估计两人也没想到会拍到身后的的胖迪吧，迪丽热巴竟然成了视频的亮点，网友：好想看正脸。 ??,235,娱乐蜀黍,153,1081,12月02日 08:30
#穿古装最好看的人# 这题我会！！！迪丽热巴穿古装超级好看！风情万种@Dear-迪丽热巴 期待枕上书白凤九 #迪丽热巴代言娇韵诗# cr. L焦糖蒸发的微博视频 ??????,187,a帥比姚,95,2624,11月27日 15:16
#迪丽热巴耳环掉了#     2019.11.23 金鸡百花电影节     ?????????????? @Dear-迪丽热巴  ??????,3117,引力方程0603-迪丽热巴,3472,15829,11月23日 22:15
迪丽热巴  ??,1016,Cutedil,663,4050,11月26日 12:06
杨幂粉丝和迪丽热巴粉丝又开撕了双方互撕说娱乐圈孤儿，杨幂的粉丝称迪丽热巴才是孤儿，不配和杨幂比较 ??????,266,娱Ms,26,3802,11月26日 15:02
分享@Dear-迪丽热巴 的@绿洲 动态:???? 只是下雨了而已 完整戳>>O绿洲晚安呀#迪丽热巴白凤九##迪丽热巴代言娇韵诗#迪丽热巴 ??,128,Dear迪丽热巴后援会,156,1562,11月25日 23:19
迪丽热巴诉讼请求中有 “侮辱性地称呼原告粉丝为XX”告的一项是 对“迪丽热巴粉丝群体”的伤害和对迪丽热巴本人的抹黑 她在乎我们的名誉，这真的好好哭啊@Dear-迪丽热巴 我会一直一直爱你 ??,228,辛能能RR,179,1145,11月26日 11:46
迪丽热巴时尚COSMO时尚美丽盛典宣传ID视频来惹迪丽热巴：“hello大家好，我是迪丽热巴，距离2019年COSMO时尚美丽盛典还有6天，12月3日让我们一起相约上海，不见不散。”热巴声音也太甜甜了@Dear-迪丽热巴 L芒果爱豆说的微博视频 ??,315,芒果爱豆说,139,923,11月27日 13:05
"迪丽热巴 科普一下，诽谤罪和民事侵权案一个是刑事案件一个是民事案件，性质不一样，民事侵权案件里也包括了造谣歪曲事实一项，因为造谣歪曲事实导致名誉受损提起民事诉讼，一般没有让被侵权人受到十分严重的伤害（被害人自杀，精神失常等）不会提起刑事诉讼的。律师诉求：停止造谣和歪曲事 ??  展开全文c                
                    迪丽热巴 科普一下，诽谤罪和民事侵权案一个是刑事案件一个是民事案件，性质不一样，民事侵权案件里也包括了造谣歪曲事实一项，因为造谣歪曲事实导致名誉受损提起民事诉讼，一般没有让被侵权人受到十分严重的伤害（被害人自杀，精神失常等）不会提起刑事诉讼的。律师诉求：停止造谣和歪曲事实，删除造谣和中伤热巴名誉的微博（已经删了）给热巴道歉。律师举证：一是金鹰节奖项：令??发的长文里说金鹰节和芒果台台长被查有关，误导别人将两件事相互关联，歪曲事实；说热巴主动要求男主（盛）发博挽尊，这是歪曲事实，说热巴改豆瓣评分，法官问豆瓣评分改的是什么（当时有zcs和李慧珍还有阿娜尔罕等剧），律师当场说没做过，所以根本不知道改的是什么评分。二是耍大牌：打手机，律师当庭说，是剧中角色剧情，令??歪曲事实，借用一张帐篷外的图来恶意揣测，歪曲事实。三是艳压通稿：令??发和别人合照就说热巴发的通稿艳压别人，律师说只是合照而已，令??恶意解读，歪曲事实。四是拉瓜拉CP，令??说热巴是主动的，律师说这是歪曲事实，还有发的CP微博为盗号，还有卖惨固粉，是令??仅凭一句话歪曲热巴意图，造成她名誉受损。五是金主论，律师说热巴不认识这些人，热巴和这些人无关。还有几个侮辱性称号，包括lv/fen这个对热巴粉丝群体的侮辱，律师主张热巴名誉受到侵害。综上，这种名誉侵权，居然大多是歪曲事实，说明热巴很清白，歪曲事实，造谣生事，比仅仅侵害名誉的行为要重一些，事实就是事实，没做过就是没做过，热巴坦坦荡荡。 对方根本没有参加庭审，连答辩书都没有，缩头乌龟，畏畏缩缩，敢做不敢当。法官当庭宣判令??置顶微博道歉，道歉内容经过法院审核。禁止道歉内容阴阳怪气，指桑骂槐。 具体裁判内容可能会在中国裁判文书网发布，到时候去查证就好。 收起全文d",1280,冬耽,2293,4192,11月26日 12:00
#十年颜值变化挑战##迪丽热巴swisse品牌代言人#   瘦而不柴、媚而不妖，迪丽热巴真的是十年如一日的稳@Dear-迪丽热巴 ??,373,喜欢傲娇迪,186,4847,11月28日 19:37
#见到真人后的粉丝##mikimoto亚洲代言人迪丽热巴# 迪丽热巴美得让我找不到任何言语来形容@Dear-迪丽热巴 ??,502,喜欢傲娇迪,241,7224,11月25日 20:42
迪丽热巴 ｜#迪丽热巴白凤九# 今日份早安 来自美美的迪丽热巴近日活动look小合集 心动暴击@Dear-迪丽热巴 ??,975,芒果之家,252,3434,11月26日 08:20
"迪丽热巴#迪丽热巴慢游希腊# From GTP HeadlineP1: 希腊在迪丽热巴的介绍后迅速的在中国爆红上月，希腊通过两集@慢游全世界 吸引了成千上万的中国观众，其中包括中国巨星@Dear-迪丽热巴 ,她在中国版Twitter上的微博拥有超过6300万粉丝。@慢游全世界 是个名人旅游节目。今年屡获殊荣的 ??  展开全文c                
                    迪丽热巴#迪丽热巴慢游希腊# From GTP HeadlineP1: 希腊在迪丽热巴的介绍后迅速的在中国爆红上月，希腊通过两集@慢游全世界 吸引了成千上万的中国观众，其中包括中国巨星@Dear-迪丽热巴 ,她在中国版Twitter上的微博拥有超过6300万粉丝。@慢游全世界 是个名人旅游节目。今年屡获殊荣的@Dear-迪丽热巴 在《福布斯》中国名人榜2019年排名第16位，今年早前到访了圣托里尼岛和凯法利尼亚岛，拍摄这部很受欢迎的，于10月在微博，爱奇艺，和BTV播出旅游节目。P2: 希腊国家旅游局（GNTO）与岛屿上的专业人员合作，为这位中国巨星及其工作人员安排旅行和拍摄活动。与节目相关的超话，例如#慢游全世界# ，#迪丽热巴带着婚纱去旅行# 等在中国成千上万的微博用户中爆红。 #迪丽热巴慢游希腊# 的超话以14亿次观看和近1600万次讨论，在微博的旅游主题列表上排名第一。此外，@慢游全世界 这两集均荣登《爱奇艺》热门话题榜。同时，许多带有GNTO徽标和迪丽热巴的截图在中国社交媒体的帖子上广为传播。@Dear-迪丽热巴 收起全文d",177,justlovesdlrb,92,1384,11月24日 18:21
迪丽热巴首部影视作品《阿娜尔罕》表现怎么样？ ??,231,前线娱乐,153,1810,11月26日 22:20
"迪丽热巴最近玩论坛的阿丝越来越多了 大概会存在不熟悉论坛环境的情况  忘了在哪儿看到的一个科普图 很适用于论坛小白1??不要过度安利，霸屏特别容易反噬2??不要陪聊，更不要掏心窝子陪聊3??遇到黑贴不要个个进去顶，可以常驻自家澄清楼聊天顶帖！这个特别重要4??不要科普饭圈，这个也特别 ??  展开全文c                
                    迪丽热巴最近玩论坛的阿丝越来越多了 大概会存在不熟悉论坛环境的情况  忘了在哪儿看到的一个科普图 很适用于论坛小白1??不要过度安利，霸屏特别容易反噬2??不要陪聊，更不要掏心窝子陪聊3??遇到黑贴不要个个进去顶，可以常驻自家澄清楼聊天顶帖！这个特别重要4??不要科普饭圈，这个也特别重要5??不要自家饭圈任何大事小事都搬运，论坛不负责升堂6??开楼要负责护楼，不然不如不开还有什么不熟悉的 不介意的话也可以私信问我 平常上班很忙 可能回复的有点慢 收起全文d",424,仓持北半,248,1891,11月25日 23:59
人比花娇，肤如凝脂#迪丽热巴小公主# ??,105,辛能能RR,99,1042,11月24日 21:07
#爱豆最出圈的一张图#｜迪丽热巴视频可比图来得更劲爆来品一品前两天参加活动的视频 L布加迪迪畏的微博视频 ??,1059,布加迪迪畏,474,27240,11月25日 14:29
迪丽热巴 仙女图来晚一步 ??,597,Encore猫酱,795,3574,11月25日 17:42
#爱豆都是初恋脸# 初恋迪丽热巴长情于迪丽热巴！双向爱情！我们超幸福@Dear-迪丽热巴 #迪丽热巴swisse品牌代言人# ??,44,a帥比姚,16,488,11月28日 09:36
#迪丽热巴耳环掉了#dlrb#迪丽热巴黑纱抹胸礼裙# 巴巴，你耳环掉了一只但也挡不住你的颜热热公主是个小迷糊 官方:一侧，足以惊艳 ??,44,剧酱君,26,508,11月23日 22:01
迪丽热巴这张照片好像家族长女，即将继承亿万家产的那种绝了！ ??,137,圈内少年,116,673,11月30日 18:18
新疆两位美女迪丽热巴和古力娜扎将同台《时尚COMSO》PK，你们最期待谁的表现？ 你们最期待谁的表现？ ??,348,吃瓜鹅每日专用,259,868,11月30日 15:16
迪丽热巴我们一起！“在安静中不慌不忙的坚强”@Dear-迪丽热巴 ??,59,smile-perfunctory,9,281,11月29日 06:51
